0,1,2,3
0.53447187,0.0044764495,0.006621763,0.7110898
0.65622634,0.049272794,0.06286042,0.74986684
0.7656557,0.09288564,0.116684794,0.7736037
0.8732307,0.13627812,0.16886114,0.8321033
0.93955487,0.18208256,0.22257137,0.8837986
0.9680614,0.23129393,0.27131325,0.9476362
0.9789767,0.26122147,0.30452886,0.9771006
0.9538089,0.3179013,0.35640007,0.98997307
0.88926494,0.34880158,0.38719758,0.9858187
0.80286753,0.39244333,0.42075223,0.95893776
0.69442546,0.4339303,0.44993877,0.88967985
0.58869016,0.46838057,0.47700197,0.79146904
0.46627977,0.51496863,0.5073642,0.6720608
0.3083724,0.5670171,0.5523249,0.50434476
0.18199936,0.60585517,0.5802678,0.3468923
0.10332339,0.64751774,0.6142705,0.20044377
0.06250364,0.6844119,0.64752764,0.10747713
0.014378403,0.7378173,0.6942395,0.035570595
0.020047506,0.7823297,0.73646146,0.01752217
0.06184718,0.8309804,0.7927182,0.03142084
0.135692,0.848618,0.815618,0.10925402
0.24137175,0.9043881,0.88167614,0.23937465
0.36676103,0.9516691,0.93964803,0.46761787
0.48858172,0.9895578,0.98701185,0.7046132
0.53422457,0.005015255,0.007157013,0.7147942
0.65414673,0.043630503,0.056133054,0.7346984
0.7378221,0.095621444,0.11913692,0.759093
0.84779376,0.1508024,0.18546082,0.8138775
0.93546736,0.18200852,0.22260278,0.8816008
0.97143227,0.23057361,0.27278426,0.93615764
0.9820837,0.2580509,0.30206466,0.9860303
0.9626513,0.2971538,0.33939388,0.99142027
0.8874103,0.35313797,0.38742056,0.9809523
0.8440199,0.37729573,0.40470552,0.9568148
0.70835984,0.42806324,0.44580835,0.889704
0.5783402,0.4739694,0.48123685,0.76906425
0.46274275,0.516476,0.5096376,0.65903515
0.31060246,0.56499785,0.5476685,0.50500065
0.2140961,0.59711295,0.57397515,0.3846839
0.10835481,0.65553457,0.61887604,0.20918152
0.04358569,0.6920553,0.65274507,0.09495212
0.010873042,0.74926424,0.70423603,0.023841381
0.022470327,0.7694687,0.72735626,0.020280695
0.06138512,0.82395756,0.7855699,0.032286827
0.13882993,0.84870005,0.8143362,0.11203252
0.24316095,0.9100403,0.8865061,0.26579478
0.36452594,0.9581922,0.9480079,0.46060255
0.49174327,0.9883625,0.9856883,0.7227539
0.49532658,0.00533937,0.007766475,0.70991063
0.63760614,0.04018109,0.051841084,0.72909284
0.7486239,0.09494286,0.11768796,0.7680823
0.8494935,0.1513098,0.18426512,0.8193405
0.9224862,0.18831398,0.22741163,0.8722186
0.9741145,0.21910915,0.2607034,0.93633246
0.9754892,0.25947136,0.30302396,0.97428507
0.9656016,0.3035314,0.3439629,0.9916693
0.90702313,0.34643984,0.38136324,0.9855041
0.7547228,0.40599167,0.42880028,0.92922556
0.6959077,0.43567222,0.45141047,0.87360287
0.54358906,0.48409057,0.48739284,0.75262743
0.43054536,0.5260096,0.51955914,0.63671297
0.27494735,0.5809434,0.5623603,0.4499955
0.20843707,0.60461587,0.5787617,0.3579726
0.093687005,0.6611371,0.6253107,0.17674184
0.03878764,0.7027514,0.6621788,0.08192108
0.012909677,0.7423297,0.69830495,0.028356986
0.024818366,0.7891469,0.74676734,0.017236557
0.056765128,0.8328125,0.7949501,0.030202784
0.13875635,0.87743735,0.84922045,0.11929635
0.23866601,0.91078097,0.8878187,0.26193628
0.3599759,0.9592644,0.9474483,0.46084172
0.48965472,0.9914386,0.9896003,0.7110639
0.52292037,0.0040750946,0.0060679987,0.70900387
0.65420765,0.04700995,0.060100105,0.7399682
0.74294025,0.092950426,0.11526815,0.7646368
0.8388783,0.12416432,0.15404691,0.8128249
0.937404,0.18601182,0.224533,0.89109635
0.9751153,0.21654913,0.25999904,0.93838876
0.98116714,0.25479722,0.29783323,0.9802188
0.95009476,0.3135021,0.35439232,0.98845214
0.8943708,0.35050312,0.38468915,0.9841398
0.8081809,0.38833976,0.41850084,0.9614589
0.70465785,0.43332425,0.449038,0.8818729
0.579339,0.47095683,0.4784967,0.7907462
0.4412455,0.52406746,0.5170497,0.64847124
0.3012005,0.56296754,0.5470075,0.5002898
0.18846314,0.6057962,0.58195895,0.34535939
0.1007093,0.65925246,0.6237429,0.1819636
0.0454685,0.7040898,0.6624622,0.07496621
0.012027069,0.7376587,0.6939253,0.032486826
0.018247746,0.78842103,0.74624956,0.012817846
0.051508173,0.81781405,0.7763329,0.030895013
0.1448994,0.8540242,0.8198628,0.12053604
0.24247843,0.9140455,0.89119184,0.2640811
0.3747162,0.9546654,0.9431735,0.47043505
0.49752668,0.9913483,0.989437,0.6985267
0.5178585,0.004697306,0.0068726214,0.708375
0.62400013,0.047479056,0.06022039,0.72688
0.7463354,0.097136825,0.12041988,0.7676904
0.86599237,0.11738217,0.14802618,0.8250649
0.93135923,0.18526661,0.22221322,0.88661736
0.9684958,0.21287914,0.25516638,0.94244015
0.97840786,0.25984418,0.30311626,0.98152727
0.9577776,0.30450144,0.34569043,0.9927665
0.90044117,0.34264114,0.37651455,0.98480797
0.8061424,0.39524987,0.42218283,0.9453786
0.7403097,0.42177865,0.4399826,0.90283537
0.5742888,0.46503943,0.47278047,0.8012907
0.46271476,0.5137117,0.51068306,0.66744214
0.35250765,0.545622,0.5323776,0.5751114
0.2064525,0.5983952,0.57240134,0.37946814
0.10773563,0.6479584,0.6139805,0.21239479
0.04663112,0.6871161,0.64818066,0.103444524
0.012161047,0.743547,0.6996074,0.02882421
0.016216803,0.78851426,0.7450147,0.012756472
0.052525315,0.8262447,0.78441197,0.03264319
0.13953029,0.8626764,0.8313987,0.11072136
0.22716925,0.8981449,0.87319267,0.23754841
0.3579723,0.95145524,0.9398075,0.44569296
0.49839336,0.9891999,0.9868274,0.7083202
0.5021727,0.005640509,0.008073813,0.7094415
0.6261657,0.04708154,0.06058069,0.7310481
0.75974065,0.09068613,0.11422805,0.769761
0.8605543,0.11777908,0.14848286,0.8155544
0.9292688,0.18014441,0.22004223,0.8807657
0.9616457,0.22126038,0.2629942,0.92516744
0.9797854,0.25791407,0.30056432,0.97781825
0.96327764,0.30210555,0.3462282,0.99020714
0.8962015,0.34865355,0.3826052,0.9836353
0.849761,0.37965947,0.40539843,0.9600778
0.65544504,0.44305265,0.4575726,0.87506324
0.558765,0.48786792,0.4875177,0.74930614
0.45890313,0.5114826,0.50821143,0.673435
0.31962985,0.5619691,0.5452801,0.5110837
0.18933092,0.6151144,0.5873153,0.3284844
0.10158503,0.65318114,0.61760813,0.19800347
0.04309836,0.69944423,0.6582112,0.08054654
0.012468452,0.74613905,0.7009562,0.026527748
0.02122044,0.779094,0.7373258,0.016283836
0.068646125,0.8218521,0.78253573,0.04327627
0.15145178,0.8520656,0.81911194,0.12878086
0.23366237,0.9170373,0.89422894,0.25706255
0.38669154,0.9544595,0.9425146,0.49400854
0.4998633,0.9908811,0.98892844,0.708089
0.5131721,0.004701616,0.006939003,0.71054864
0.64313143,0.047109768,0.060304288,0.72969455
0.75914806,0.0999859,0.123316705,0.77522737
0.8533279,0.14073795,0.17372942,0.81345606
0.9317582,0.17296855,0.21226314,0.8763317
0.9710687,0.20958751,0.25201964,0.9524824
0.9740922,0.27350387,0.3154389,0.97813976
0.96716577,0.30056474,0.340755,0.99070334
0.9093345,0.34017283,0.37791234,0.98686826
0.81593204,0.38266182,0.410051,0.9557138
0.6941139,0.42600644,0.44894084,0.8853361
0.5970689,0.46880835,0.476565,0.8051496
0.47327474,0.5011873,0.500952,0.7169998
0.29782665,0.56117755,0.5461359,0.5230516
0.19701025,0.59990424,0.5758125,0.3844629
0.10209544,0.6547057,0.6186315,0.19861948
0.048658945,0.6862424,0.6469753,0.10488716
0.014866889,0.7322542,0.6869698,0.036953714
0.016049948,0.78646594,0.74134827,0.0136291925
0.062333085,0.81741136,0.7791732,0.031194424
0.13735582,0.856565,0.8243948,0.11021255
0.23617795,0.8898214,0.8638144,0.25799173
0.35406694,0.95388186,0.94201505,0.43795666
0.50482625,0.99248576,0.9910424,0.707696
0.5343097,0.00570347,0.008202242,0.71306723
0.6324902,0.040577758,0.051853195,0.7360796
0.74664605,0.08846772,0.111228526,0.7631831
0.8577254,0.1130556,0.14285547,0.82097
0.9244658,0.18116519,0.21977293,0.8842342
0.96658397,0.23988101,0.2841322,0.9429601
0.97686166,0.27434945,0.31874734,0.9808035
0.96059364,0.3086616,0.34914273,0.9914214
0.91490513,0.340779,0.37690836,0.98507524
0.7862341,0.40421712,0.42884392,0.9443624
0.7261452,0.42736787,0.4452083,0.88985234
0.5835392,0.47682777,0.4822741,0.7724993
0.39910167,0.53284293,0.5241212,0.60416245
0.28358588,0.5726553,0.5544869,0.48480383
0.18018343,0.6215191,0.59331894,0.30682606
0.0949563,0.65874285,0.6224346,0.20094833
0.03738176,0.70708346,0.66629344,0.06936677
0.0112881325,0.7457235,0.7020212,0.026854018
0.019551378,0.7784499,0.73823196,0.014946728
0.06492053,0.8222309,0.7819566,0.04068198
0.16170657,0.8727503,0.8411754,0.14331546
0.22270949,0.89808124,0.8743654,0.23450178
0.37377945,0.95821357,0.9492146,0.47169274
0.5069878,0.9937358,0.9923379,0.71151024
0.48884434,0.0045159175,0.0066301557,0.70991135
0.6186613,0.0505694,0.0635994,0.72753555
0.70857596,0.08955719,0.110880926,0.7523409
0.84576315,0.14199437,0.17453635,0.81555873
0.9260422,0.19514832,0.23463477,0.88036287
0.9687724,0.2141702,0.25684845,0.9409722
0.9797151,0.26539576,0.30892485,0.9796122
0.966779,0.29035628,0.3334853,0.99252796
0.9033622,0.3429875,0.37906545,0.98898554
0.8077817,0.38602257,0.41391948,0.954252
0.7134279,0.43607965,0.45101488,0.89147294
0.5947455,0.4768412,0.48166558,0.7912215
0.43173146,0.5248343,0.5189855,0.6405258
0.30312526,0.5675505,0.5512045,0.49275374
