0,1,2,3,4
0.27941176,0.13114753,0.54545456,0.0,0.0
0.27941176,0.114754096,0.5272727,0.0,0.0
0.27941176,0.13114753,0.5090909,0.0,0.0
0.27941176,0.08196721,0.5090909,0.0,0.0
0.29411766,0.114754096,0.4909091,0.0,0.0
0.30882353,0.14754099,0.47272727,0.0,0.0
0.30882353,0.16393442,0.47272727,0.0,0.0
0.30882353,0.16393442,0.47272727,0.0,0.0
0.30882353,0.16393442,0.47272727,0.0,0.0
0.29411766,0.18032786,0.47272727,0.0,0.0
0.30882353,0.19672132,0.47272727,0.0,0.0
0.32352942,0.22950819,0.47272727,0.0,0.0
0.30882353,0.22950819,0.43636364,0.0,0.0
0.32352942,0.26229507,0.43636364,0.0,0.0
0.32352942,0.27868852,0.4181818,0.0,0.0
0.32352942,0.29508197,0.4181818,0.0,0.0
0.30882353,0.27868852,0.43636364,0.0,0.0
0.32352942,0.26229507,0.43636364,0.0,0.0
0.32352942,0.22950819,0.45454547,0.0,0.0
0.3382353,0.24590164,0.47272727,0.0,0.0
0.3382353,0.22950819,0.47272727,0.0,0.0
0.3382353,0.22950819,0.4909091,0.0,0.0
0.3382353,0.22950819,0.4909091,0.0,0.0
0.3382353,0.22950819,0.5272727,0.0,0.0
0.30882353,0.19672132,0.47272727,0.0,0.0
0.32352942,0.22950819,0.47272727,0.0,0.0
0.30882353,0.22950819,0.43636364,0.0,0.0
0.32352942,0.26229507,0.43636364,0.0,0.0
0.32352942,0.27868852,0.4181818,0.0,0.0
0.32352942,0.29508197,0.4181818,0.0,0.0
0.30882353,0.27868852,0.43636364,0.0,0.0
0.32352942,0.26229507,0.43636364,0.0,0.0
0.32352942,0.22950819,0.45454547,0.0,0.0
0.3382353,0.24590164,0.47272727,0.0,0.0
0.3382353,0.22950819,0.47272727,0.0,0.0
0.3382353,0.22950819,0.4909091,0.0,0.0
0.3382353,0.22950819,0.4909091,0.0,0.0
0.3382353,0.22950819,0.5272727,0.0,0.0
0.3529412,0.24590164,0.5272727,0.0,0.0
0.36764705,0.24590164,0.5272727,0.0,0.0
0.42647058,0.22950819,0.54545456,0.0,0.0
0.4852941,0.22950819,0.56363636,0.037037037,0.0
0.4852941,0.22950819,0.56363636,0.074074075,0.0
0.4852941,0.21311475,0.56363636,0.11111111,0.0
0.4852941,0.21311475,0.58181816,0.14814815,0.0
0.4852941,0.22950819,0.6,0.0,0.0
0.47058824,0.21311475,0.6,0.0,0.0
0.4852941,0.22950819,0.6181818,0.0,0.0
0.3382353,0.22950819,0.47272727,0.0,0.0
0.3382353,0.22950819,0.4909091,0.0,0.0
0.3382353,0.22950819,0.4909091,0.0,0.0
0.3382353,0.22950819,0.5272727,0.0,0.0
0.3529412,0.24590164,0.5272727,0.0,0.0
0.36764705,0.24590164,0.5272727,0.0,0.0
0.42647058,0.22950819,0.54545456,0.0,0.0
0.4852941,0.22950819,0.56363636,0.037037037,0.0
0.4852941,0.22950819,0.56363636,0.074074075,0.0
0.4852941,0.21311475,0.56363636,0.11111111,0.0
0.4852941,0.21311475,0.58181816,0.14814815,0.0
0.4852941,0.22950819,0.6,0.0,0.0
0.47058824,0.21311475,0.6,0.0,0.0
0.4852941,0.22950819,0.6181818,0.0,0.0
0.4852941,0.22950819,0.6363636,0.037037037,0.0
0.47058824,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6181818,0.0,0.0
0.45588234,0.22950819,0.6181818,0.0,0.0
0.45588234,0.22950819,0.6181818,0.0,0.0
0.45588234,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6545454,0.0,0.0
0.47058824,0.22950819,0.6545454,0.0,0.0
0.47058824,0.22950819,0.6727273,0.0,0.0
0.4852941,0.21311475,0.58181816,0.14814815,0.0
0.4852941,0.22950819,0.6,0.0,0.0
0.47058824,0.21311475,0.6,0.0,0.0
0.4852941,0.22950819,0.6181818,0.0,0.0
0.4852941,0.22950819,0.6363636,0.037037037,0.0
0.47058824,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6181818,0.0,0.0
0.45588234,0.22950819,0.6181818,0.0,0.0
0.45588234,0.22950819,0.6181818,0.0,0.0
0.45588234,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6545454,0.0,0.0
0.47058824,0.22950819,0.6545454,0.0,0.0
0.47058824,0.22950819,0.6727273,0.0,0.0
0.4852941,0.22950819,0.6727273,0.0,0.0
0.4852941,0.22950819,0.6545454,0.037037037,0.0
0.47058824,0.21311475,0.6727273,0.074074075,0.0
0.47058824,0.21311475,0.6545454,0.11111111,0.0
0.4852941,0.21311475,0.6545454,0.14814815,0.0
0.47058824,0.21311475,0.6363636,0.18518518,0.0
0.47058824,0.19672132,0.6363636,0.22222222,0.0
0.47058824,0.19672132,0.6181818,0.25925925,0.0
0.47058824,0.19672132,0.6,0.2962963,0.0
0.45588234,0.18032786,0.6,0.33333334,0.0
0.45588234,0.22950819,0.6363636,0.0,0.0
0.47058824,0.22950819,0.6545454,0.0,0.0
0.47058824,0.22950819,0.6545454,0.0,0.0
